,0,1,2,3,4,5,6
289,2014-06-09,70.8,0,28.7,22.9,18.5,176.8181818
290,2014-05-13,69.9,0,25.6,19.2,11.9,35.18181818
291,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
292,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
293,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
294,2014-05-17,48,0,26.2,20,14.3,57
295,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
296,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
297,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
298,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
299,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
300,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
301,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
302,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
303,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
304,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
305,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
306,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
307,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
308,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
309,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
310,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
311,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
312,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
313,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
314,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
315,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
316,2014-06-08,75.3,0,24.5,21.4,19.2,100.4545455
317,2014-06-09,70.8,0,28.7,22.9,18.5,176.8181818
318,2014-06-10,72,5.5,29.3,23.6,20,460.1818182
319,2014-05-14,59.1,0,25.9,19.6,15.3,53.54545455
320,2014-05-15,66.9,0.3,23.7,18.2,14.5,34.18181818
321,2014-05-16,50.3,0,26.2,19,12.3,65.63636364
322,2014-05-17,48,0,26.2,20,14.3,57
323,2014-05-18,50.1,0,27.1,20.3,13.7,69.45454545
324,2014-05-19,55.1,0,26.2,20,14.1,95.90909091
325,2014-05-20,45.4,0,28.4,21.5,16.1,295.2727273
326,2014-05-21,65.3,0,26.5,20.1,15.9,489.8181818
327,2014-05-22,63.4,0,28.3,20.9,13.6,271.8181818
328,2014-05-23,68.4,0,27.8,22,17.6,337.1818182
329,2014-05-24,68.8,0,27.9,21.3,16.9,86.18181818
330,2014-05-25,78.9,21,24.9,20.5,18.3,231.6363636
331,2014-05-26,67.4,1.5,24.7,19.4,16.5,143.4545455
332,2014-05-27,49.5,0,28.3,22.8,16.7,190.8181818
333,2014-05-28,60.8,0,29.8,24,19.9,166.5454545
334,2014-05-29,54.6,0,30.9,23.2,17.5,125.1818182
335,2014-05-30,42.5,0,31.8,24.8,17.3,132.3636364
336,2014-05-31,50.3,0,33.3,26.2,20.5,129.4545455
337,2014-06-01,58.1,0,29.9,24.7,20.4,109.3636364
338,2014-06-02,73.5,2,24.6,22.6,20.6,1088.272727
339,2014-06-03,95.3,33,21,18.7,17.5,212.2727273
340,2014-06-04,61.5,0,27.8,22.8,18.7,176.7272727
341,2014-06-05,58.8,0,26.1,22.9,20.4,179.1818182
342,2014-06-06,58.9,0,31.1,24.4,18.8,208.3636364
343,2014-06-07,65.1,0,27.1,23.5,19.7,406.8181818
344,2014-06-08,75.3,0,24.5,21.4,19.2,100.4545455
